date,Total self harm incidents,Incidents among men,Incidents among women
01/03/2015,7232.00,5611.00,1621.00
01/06/2015,8075.00,6121.00,1954.00
01/09/2015,8651.00,6495.00,2156.00
01/12/2015,8355.00,6752.00,1603.00
01/03/2016,9584.00,7509.00,2075.00
01/06/2016,10161.00,8388.00,1773.00
01/09/2016,10170.00,8289.00,1881.00
01/12/2016,10245.00,8304.00,1941.00
01/03/2017,9837.00,8289.00,1548.00
01/06/2017,10956.00,8810.00,2146.00
01/09/2017,12067.00,9672.00,2395.00
01/12/2017,11791.00,9576.00,2215.00
01/03/2018,12045.00,9926.00,2119.00
01/06/2018,13778.00,11200.00,2578.00
01/09/2018,15462.00,12714.00,2748.00
01/12/2018,14330.00,11518.00,2812.00
01/03/2019,14460.00,11764.00,2696.00
01/06/2019,16416.00,13444.00,2972.00
01/09/2019,16450.00,13448.00,3002.00
01/12/2019,16296.00,13035.00,3261.00
01/03/2020,15390.00,12569.00,2821.00
01/06/2020,13017.00,10171.00,2846.00
01/09/2020,14166.00,10679.00,3487.00
01/12/2020,12969.00,10132.00,2837.00
