date,Total self harm incidents,Incidents among men,Incidents among women
01/03/2015,7232,5611,1621
01/06/2015,8075,6121,1954
01/09/2015,8651,6495,2156
01/12/2015,8355,6752,1603
01/03/2016,9584,7509,2075
01/06/2016,10161,8388,1773
01/09/2016,10170,8289,1881
01/12/2016,10245,8304,1941
01/03/2017,9837,8289,1548
01/06/2017,10956,8810,2146
01/09/2017,12067,9672,2395
01/12/2017,11791,9576,2215
01/03/2018,12045,9926,2119
01/06/2018,13778,11200,2578
01/09/2018,15462,12714,2748
01/12/2018,14330,11518,2812
01/03/2019,14460,11764,2696
01/06/2019,16416,13444,2972
01/09/2019,16450,13448,3002
01/12/2019,16296,13035,3261
01/03/2020,15390,12569,2821
01/06/2020,13017,10171,2846
01/09/2020,14166,10679,3487
01/12/2020,12969,10132,2837
